day,ticker,state,dir,K,fireTsMs,exitTsMs,entrySpot,hr,g7_gate,final_sys,occ,entry_atfire,pnl_atfire,confirmed,entry_confirm,pnl_confirm,pnl_nextexp,mfe_pct,mae_pct,t_peak_min,entry_vol,entry_iv,prem_pct,breakeven_bps,f1,f5,f15,onesided15,accel,gex_regime,d_wall_bps,d_flip_bps,pin,vixd15,daytype,trend_day,nfp,fomc,opex,big_open,gex_state,flow_agree5,flow_onesided,flow_extreme,premium_band,flag_afternoon,flag_posgex_noroom,flag_flow_exhausted,flag_flow_against,flag_pin,flag_breakeven,nflags
2026-06-02,SPY,BEAR_RUG,-1,758,1780407000000,1780408200000,758.39,9.5,False,False,SPY260602P00758000,1.79,-41.000000000000014,False,,,-29.000000000000004,2.793296089385477,-24.02234636871508,9.0,719,0.1671,0.23602631891243292,23.60263189124329,963160.0,963160.0,963160.0,1.0,,-0.36997497878222957,5.142472870158973,123.81492371998557,False,,flat,False,False,False,False,False,negative,False,True,False,good_0.5-2,False,False,True,True,False,False,2
2026-06-02,SPXW,BEAR_RUG,-1,7600,1780407000000,1780410000000,7599.96,9.5,True,True,SPXW260602P07600000,19.5,-919.9999999999999,False,,,-755.0000000000001,2.564102564102564,-47.69230769230769,9.0,50,0.2097,0.256580297791041,25.6580297791041,-1219439.0,-1219439.0,-1219439.0,0.5591538219926497,,0.32930402588285634,39.42126011189537,65.73718809046368,False,,flat,False,False,False,False,False,positive,True,True,False,other,False,False,True,False,False,False,1
2026-06-02,QQQ,BEAR_RUG,-1,741,1780407300000,1780408200000,740.61,9.583333333333334,True,True,QQQ260602P00741000,2.74,-133.00000000000003,False,,,-121.0,3.2846715328467098,-48.540145985401466,5.0,1283,0.2922,0.36996529887525154,36.99652988752515,-626259.0,-1718022.0,-1718022.0,0.5669115332351755,-1535097.0,-0.10699366206982532,21.738836904713864,75.74836958723233,False,,flat,False,False,False,False,False,neutral,True,True,False,bad_2-10,False,False,True,False,False,True,2
2026-06-02,SPXW,BULL_REVERSE,1,7590,1780408500000,1780410000000,7592.47,9.916666666666666,True,True,SPXW260602C07590000,11.8,419.99999999999994,True,12.2,380.00000000000006,429.9999999999997,36.440677966101696,-1.271186440677969,18.0,107,0.1462,0.15541714356461073,15.541714356461073,988294.0,-14993515.0,31759772.0,0.19407651966580614,-37491344.0,0.7710430870992048,9.91772111052101,200.81738880759522,False,-0.060000000000002274,flat,False,False,False,False,False,positive,False,False,False,other,False,True,False,True,False,False,2
2026-06-02,SPXW,BEAR_RUG,-1,7595,1780408800000,1780412700000,7593.06,10.0,True,False,SPXW260602P07595000,13.1,-962.9999999999999,False,,,,2.6717557251908373,-74.04580152671755,2.0,136,0.16,0.17252596449916108,17.25259644991611,6399876.0,14219178.0,-15049713.0,0.15931653153738293,28494704.0,0.8034645619915841,30.369837720234532,201.57881012398218,False,-0.0799999999999983,flat,False,False,False,False,False,positive,False,False,False,other,False,False,False,True,False,False,1
2026-06-02,QQQ,BULL_REVERSE,1,744,1780409400000,1780416600000,743.89,10.166666666666666,True,True,QQQ260602C00744000,1.78,71.00000000000001,True,1.93,56.00000000000003,85.99999999999999,50.56179775280899,-40.44943820224719,117.0,1043,0.2558,0.2392826896449744,23.92826896449744,1524364.0,3837754.0,-19177775.0,0.5847635148413459,14943648.0,-0.09929655643253447,82.13579964779758,11.964134482248536,False,-0.05999999999999872,flat,False,False,False,False,False,neutral,True,True,False,good_0.5-2,False,False,True,False,False,False,1
2026-06-02,SPY,BULL_REVERSE,1,758,1780409700000,1780411200000,758.18,10.25,True,True,SPY260602C00758000,1.22,5.000000000000004,False,,,8.999999999999986,18.032786885245898,-23.77049180327868,21.0,2329,0.139,0.16091165686248649,16.09116568624865,-271072.0,2563133.0,3148730.0,0.24898546919874998,1563959.5,-0.3411973609171828,37.19433379936229,10.815373657971064,True,-0.08000000000000007,flat,False,False,False,False,False,negative,True,False,False,good_0.5-2,False,False,False,False,True,False,1
2026-06-02,QQQ,BEAR_RUG,-1,744,1780409700000,1780411500000,744.31,10.25,False,False,QQQ260602P00744000,1.78,42.99999999999999,True,1.93,-29.000000000000004,,60.67415730337078,-10.112359550561795,12.0,1104,0.2511,0.23914766696672088,23.91476669667209,632629.0,6875213.0,-3605933.0,0.11276008514013672,11767325.5,-0.1540635603942978,71.34124222434127,17.60019346777479,False,-0.08000000000000007,flat,False,False,False,False,False,negative,False,False,False,good_0.5-2,False,False,False,True,False,False,1
2026-06-02,SPXW,BULL_REVERSE,1,7600,1780410300000,1780411500000,7598.28,10.416666666666666,True,True,SPXW260602C07600000,8.0,419.99999999999994,False,,,455.9999999999999,53.75000000000001,-12.875000000000004,19.0,427,0.1351,0.10528698600209521,10.528698600209522,6960960.0,18585565.0,-5096085.0,0.060478732212223975,30394731.0,0.8573017834901637,2.2636701990453822,149.08637217896649,False,-0.010000000000001563,flat,False,False,False,False,False,positive,True,False,False,bad_2-10,False,True,False,False,False,False,1
2026-06-02,SPY,BEAR_RUG,-1,758,1780410600000,1780429800000,757.74,10.5,True,True,SPY260602P00758000,1.1,-108.0,False,,,-107.0,0.0,-98.18181818181819,0.0,987,0.1434,0.145168527463246,14.516852746324599,1978193.0,-523385.0,-1819934.0,0.14785203017135698,996278.5,-0.2556317227407731,9.765882756618485,16.62839496397169,True,0.11999999999999922,flat,False,False,False,False,False,negative,True,False,False,good_0.5-2,False,False,False,False,True,False,1
